"split","model","component","metric","value"
"CV fold 1","Regression","Classifier","roc_auc",0.679930555555556
"CV fold 1","Regression","Classifier","average_precision",0.919489223652608
"CV fold 1","Regression","Classifier","log_loss",0.398394268123155
"CV fold 1","Regression","Classifier","brier",0.121716786444227
"CV fold 1","Regression","Classifier","threshold",0.85
"CV fold 1","Regression","Classifier","balanced_accuracy",0.65287037037037
"CV fold 1","Regression","Classifier","sensitivity",0.648333333333333
"CV fold 1","Regression","Classifier","specificity",0.657407407407407
"CV fold 1","Regression","Conditional positive-grade regressor","rmse",1.8548621980247
"CV fold 1","Regression","Conditional positive-grade regressor","mae",1.26213158728762
"CV fold 1","Regression","Conditional positive-grade regressor","r_squared",0.0729530603548084
"CV fold 1","Regression","Overall expected grade","rmse",4.59446408760936
"CV fold 1","Regression","Overall expected grade","mae",3.37930288133376
"CV fold 1","Regression","Overall expected grade","r_squared",0.0856087899013463
"CV fold 1","Random forest","Classifier","roc_auc",0.658402777777778
"CV fold 1","Random forest","Classifier","average_precision",0.909455607159929
"CV fold 1","Random forest","Classifier","log_loss",0.472743712421529
"CV fold 1","Random forest","Classifier","brier",0.132882595603881
"CV fold 1","Random forest","Classifier","threshold",0.77
"CV fold 1","Random forest","Classifier","balanced_accuracy",0.641666666666667
"CV fold 1","Random forest","Classifier","sensitivity",0.783333333333333
"CV fold 1","Random forest","Classifier","specificity",0.5
"CV fold 1","Random forest","Conditional positive-grade regressor","rmse",1.86358921626785
"CV fold 1","Random forest","Conditional positive-grade regressor","mae",1.26175221441097
"CV fold 1","Random forest","Conditional positive-grade regressor","r_squared",0.0642091354549275
"CV fold 1","Random forest","Overall expected grade","rmse",4.77164191565132
"CV fold 1","Random forest","Overall expected grade","mae",3.44651160189704
"CV fold 1","Random forest","Overall expected grade","r_squared",0.0137250337350723
"CV fold 1","XGBoost","Classifier","roc_auc",0.68599537037037
"CV fold 1","XGBoost","Classifier","average_precision",0.923625718169073
"CV fold 1","XGBoost","Classifier","log_loss",0.394120964789228
"CV fold 1","XGBoost","Classifier","brier",0.120484702179116
"CV fold 1","XGBoost","Classifier","threshold",0.84
"CV fold 1","XGBoost","Classifier","balanced_accuracy",0.635092592592593
"CV fold 1","XGBoost","Classifier","sensitivity",0.668333333333333
"CV fold 1","XGBoost","Classifier","specificity",0.601851851851852
"CV fold 1","XGBoost","Conditional positive-grade regressor","rmse",1.866138075892
"CV fold 1","XGBoost","Conditional positive-grade regressor","mae",1.25598263584367
"CV fold 1","XGBoost","Conditional positive-grade regressor","r_squared",0.0616475938152825
"CV fold 1","XGBoost","Overall expected grade","rmse",4.59008595037329
"CV fold 1","XGBoost","Overall expected grade","mae",3.39306607391213
"CV fold 1","XGBoost","Overall expected grade","r_squared",0.087350635178945
"CV fold 2","Regression","Classifier","roc_auc",0.651489197530864
"CV fold 2","Regression","Classifier","average_precision",0.913629031532663
"CV fold 2","Regression","Classifier","log_loss",0.41011033234116
"CV fold 2","Regression","Classifier","brier",0.126227446708089
"CV fold 2","Regression","Classifier","threshold",0.85
"CV fold 2","Regression","Classifier","balanced_accuracy",0.614166666666667
"CV fold 2","Regression","Classifier","sensitivity",0.645
"CV fold 2","Regression","Classifier","specificity",0.583333333333333
"CV fold 2","Regression","Conditional positive-grade regressor","rmse",2.08780299856081
"CV fold 2","Regression","Conditional positive-grade regressor","mae",1.36178532055017
"CV fold 2","Regression","Conditional positive-grade regressor","r_squared",0.0674893374904385
"CV fold 2","Regression","Overall expected grade","rmse",4.71418849320067
"CV fold 2","Regression","Overall expected grade","mae",3.51663461091134
"CV fold 2","Regression","Overall expected grade","r_squared",0.0462766970119342
"CV fold 2","Random forest","Classifier","roc_auc",0.657191358024691
"CV fold 2","Random forest","Classifier","average_precision",0.911674669251321
"CV fold 2","Random forest","Classifier","log_loss",0.473063741757471
"CV fold 2","Random forest","Classifier","brier",0.137904011564315
"CV fold 2","Random forest","Classifier","threshold",0.77
"CV fold 2","Random forest","Classifier","balanced_accuracy",0.608981481481481
"CV fold 2","Random forest","Classifier","sensitivity",0.755
"CV fold 2","Random forest","Classifier","specificity",0.462962962962963
"CV fold 2","Random forest","Conditional positive-grade regressor","rmse",2.07750431059002
"CV fold 2","Random forest","Conditional positive-grade regressor","mae",1.3403816149007
"CV fold 2","Random forest","Conditional positive-grade regressor","r_squared",0.0766664006538363
"CV fold 2","Random forest","Overall expected grade","rmse",4.8675489381839
"CV fold 2","Random forest","Overall expected grade","mae",3.56033193786632
"CV fold 2","Random forest","Overall expected grade","r_squared",-0.0167850696069842
"CV fold 2","XGBoost","Classifier","roc_auc",0.69141975308642
"CV fold 2","XGBoost","Classifier","average_precision",0.925346135115204
"CV fold 2","XGBoost","Classifier","log_loss",0.397181459388282
"CV fold 2","XGBoost","Classifier","brier",0.122574248121873
"CV fold 2","XGBoost","Classifier","threshold",0.84
"CV fold 2","XGBoost","Classifier","balanced_accuracy",0.632314814814815
"CV fold 2","XGBoost","Classifier","sensitivity",0.635
"CV fold 2","XGBoost","Classifier","specificity",0.62962962962963
"CV fold 2","XGBoost","Conditional positive-grade regressor","rmse",2.06939025985396
"CV fold 2","XGBoost","Conditional positive-grade regressor","mae",1.34435659030367
"CV fold 2","XGBoost","Conditional positive-grade regressor","r_squared",0.083864792525184
"CV fold 2","XGBoost","Overall expected grade","rmse",4.6363292126388
"CV fold 2","XGBoost","Overall expected grade","mae",3.4716453330271
"CV fold 2","XGBoost","Overall expected grade","r_squared",0.0775198280699254
"CV fold 3","Regression","Classifier","roc_auc",0.682399691358025
"CV fold 3","Regression","Classifier","average_precision",0.919739017668983
"CV fold 3","Regression","Classifier","log_loss",0.398376504608734
"CV fold 3","Regression","Classifier","brier",0.122986578072906
"CV fold 3","Regression","Classifier","threshold",0.85
"CV fold 3","Regression","Classifier","balanced_accuracy",0.646666666666667
"CV fold 3","Regression","Classifier","sensitivity",0.626666666666667
"CV fold 3","Regression","Classifier","specificity",0.666666666666667
"CV fold 3","Regression","Conditional positive-grade regressor","rmse",2.04025160961107
"CV fold 3","Regression","Conditional positive-grade regressor","mae",1.33032889108646
"CV fold 3","Regression","Conditional positive-grade regressor","r_squared",0.107451068404065
"CV fold 3","Regression","Overall expected grade","rmse",4.58213536261452
"CV fold 3","Regression","Overall expected grade","mae",3.39442829976847
"CV fold 3","Regression","Overall expected grade","r_squared",0.0967561340406817
"CV fold 3","Random forest","Classifier","roc_auc",0.676195987654321
"CV fold 3","Random forest","Classifier","average_precision",0.919401019247274
"CV fold 3","Random forest","Classifier","log_loss",0.442084596422951
"CV fold 3","Random forest","Classifier","brier",0.132690552171655
"CV fold 3","Random forest","Classifier","threshold",0.77
"CV fold 3","Random forest","Classifier","balanced_accuracy",0.629907407407407
"CV fold 3","Random forest","Classifier","sensitivity",0.778333333333333
"CV fold 3","Random forest","Classifier","specificity",0.481481481481481
"CV fold 3","Random forest","Conditional positive-grade regressor","rmse",2.06370870743376
"CV fold 3","Random forest","Conditional positive-grade regressor","mae",1.33454488052209
