"mtry","nodesize","log_loss","roc_auc"
1,1,0.77908883711276,0.657933993032392
1,5,0.761857420171165,0.661511995651422
1,20,0.85619800272771,0.660773849232822
1,50,1.00713310041148,0.651040199639266
1,100,1.22653320696905,0.632491105181232
2,1,0.497301771825819,0.671535653398562
2,5,0.492212730859353,0.671605453018061
2,20,0.564255586064968,0.669070120821288
2,50,0.701752137992602,0.673704074321152
2,100,0.910581238596201,0.658105403602402
3,1,0.498379107986928,0.654784362414449
3,5,0.472158291917762,0.660979850764707
3,20,0.503921960686728,0.673869616781558
3,50,0.617664825942111,0.675045091789588
3,100,0.825120083984752,0.665975773972772
4,1,0.52479091844167,0.647559175252638
4,5,0.494617088910158,0.656714043930522
4,20,0.512203752260469,0.66984254935389
4,50,0.617609290303211,0.674110826971067
4,100,0.782084618663966,0.673289291626516
5,1,0.52549637362773,0.649961702863638
5,5,0.500169976508123,0.65578286759074
5,20,0.515529038202339,0.669433943616732
5,50,0.626169178449009,0.67171324092605
5,100,0.805121827376292,0.660626219949102
