"variable","statistic","value"
"grade_year1","mean",10.4355136489489
"grade_year1","sd",4.81852980277348
"grade_year1","minimum",0
"grade_year1","maximum",18.283653845
"positive_grade","count",3748
"positive_grade","proportion",0.847197106690778
"zero_grade","count",676
"zero_grade","proportion",0.152802893309222
"admission_grade","mean",126.978119349005
"admission_grade","sd",14.4820008188495
"admission_grade","minimum",95
"admission_grade","maximum",190
"previous_qualification_grade","mean",132.613313743219
"previous_qualification_grade","sd",13.1883316858762
"previous_qualification_grade","minimum",95
"previous_qualification_grade","maximum",190
"age_at_enrollment","mean",23.2651446654611
"age_at_enrollment","sd",7.58781561502982
"age_at_enrollment","minimum",17
"age_at_enrollment","maximum",70
"gender_category_1","count",1556
"gender_category_1","proportion",0.351717902350814
"scholarship_category_1","count",1099
"scholarship_category_1","proportion",0.248417721518987
