"bin","n","mean_feature","mean_shap","stage","feature"
"[95,109]",88,102.0875,-0.0468384511517467,"Classifier (log-odds)","admission_grade"
"(109,115]",92,112.40652173913,-0.0988900965565573,"Classifier (log-odds)","admission_grade"
"(115,119]",86,117.125581395349,0.0264617320580603,"Classifier (log-odds)","admission_grade"
"(119,122]",89,120.521348314607,0.112448356298761,"Classifier (log-odds)","admission_grade"
"(122,126]",91,124.265934065934,0.183246716488521,"Classifier (log-odds)","admission_grade"
"(126,130]",88,128.125,0.139267031367953,"Classifier (log-odds)","admission_grade"
"(130,133]",88,130.865909090909,0.177280586032959,"Classifier (log-odds)","admission_grade"
"(133,139]",87,135.720689655172,0.0587074869130363,"Classifier (log-odds)","admission_grade"
"(139,149]",90,142.995555555556,-0.0525081524521941,"Classifier (log-odds)","admission_grade"
"(149,190]",87,157.673563218391,-0.309675422638933,"Classifier (log-odds)","admission_grade"
"[95,110]",75,103.077333333333,-0.49878700653712,"Conditional regressor (grade points)","admission_grade"
"(110,115]",79,112.773417721519,-0.361633752720265,"Conditional regressor (grade points)","admission_grade"
"(115,119]",73,117.098630136986,-0.280403608736927,"Conditional regressor (grade points)","admission_grade"
"(119,122]",75,120.568,-0.257794758876165,"Conditional regressor (grade points)","admission_grade"
"(122,126]",75,124.210666666667,-0.0321852474411329,"Conditional regressor (grade points)","admission_grade"
"(126,130]",74,127.881081081081,0.0385643141092481,"Conditional regressor (grade points)","admission_grade"
"(130,132]",74,130.610810810811,0.0779152367566083,"Conditional regressor (grade points)","admission_grade"
"(132,138]",77,135.090909090909,0.293862279939961,"Conditional regressor (grade points)","admission_grade"
"(138,147]",73,141.915068493151,0.391689888826788,"Conditional regressor (grade points)","admission_grade"
"(147,190]",75,157.065333333333,0.643842057387034,"Conditional regressor (grade points)","admission_grade"
"[95,118]",100,110.6,0.0325493944995105,"Classifier (log-odds)","previous_qualification_grade"
"(118,121]",80,120.2,0.159567348752171,"Classifier (log-odds)","previous_qualification_grade"
"(121,127]",93,124.52688172043,0.118977788154797,"Classifier (log-odds)","previous_qualification_grade"
"(127,130]",106,129.622641509434,0.130613828394211,"Classifier (log-odds)","previous_qualification_grade"
"(130,133]",164,132.758536585366,-0.171918077099069,"Classifier (log-odds)","previous_qualification_grade"
"(133,138]",83,135.807228915663,-0.200028513389898,"Classifier (log-odds)","previous_qualification_grade"
"(138,141]",91,140.007692307692,-0.146330372481556,"Classifier (log-odds)","previous_qualification_grade"
"(141,150]",103,146.533980582524,0.0310517131956746,"Classifier (log-odds)","previous_qualification_grade"
"(150,190]",66,161.9,0.239415451630273,"Classifier (log-odds)","previous_qualification_grade"
"[95,118]",85,110.8,-0.107171334326267,"Conditional regressor (grade points)","previous_qualification_grade"
"(118,121]",73,120.219178082192,-0.107171334326267,"Conditional regressor (grade points)","previous_qualification_grade"
"(121,126]",68,124.058823529412,-0.0941496671122663,"Conditional regressor (grade points)","previous_qualification_grade"
"(126,130]",103,129.223300970874,-0.0860886350274086,"Conditional regressor (grade points)","previous_qualification_grade"
"(130,133]",50,132.2,-0.0860886350274086,"Conditional regressor (grade points)","previous_qualification_grade"
"(133,133.1]",73,133.1,-0.0860886350274086,"Conditional regressor (grade points)","previous_qualification_grade"
"(133.1,138]",77,135.857142857143,0.0756388023108631,"Conditional regressor (grade points)","previous_qualification_grade"
"(138,141]",74,139.995945945946,0.116306270699243,"Conditional regressor (grade points)","previous_qualification_grade"
"(141,150]",92,146.467391304348,0.148501381278038,"Conditional regressor (grade points)","previous_qualification_grade"
"(150,190]",55,161.934545454545,0.321974075653336,"Conditional regressor (grade points)","previous_qualification_grade"
"[18,19]",383,18.4569190600522,0.24047877378859,"Classifier (log-odds)","age_at_enrollment"
"(19,20]",114,20,0.222855374935949,"Classifier (log-odds)","age_at_enrollment"
"(20,21]",70,21,0.222712943170752,"Classifier (log-odds)","age_at_enrollment"
"(21,24]",72,22.9444444444444,0.0479197061310212,"Classifier (log-odds)","age_at_enrollment"
"(24,28]",75,26.56,-0.437586092948914,"Classifier (log-odds)","age_at_enrollment"
"(28,35]",89,32.2022471910112,-0.446439935501372,"Classifier (log-odds)","age_at_enrollment"
"(35,61]",83,42.8313253012048,-0.369564659960837,"Classifier (log-odds)","age_at_enrollment"
"[18,19]",338,18.4437869822485,0.166403070092201,"Conditional regressor (grade points)","age_at_enrollment"
"(19,20]",97,20,0.160139352083206,"Conditional regressor (grade points)","age_at_enrollment"
"(20,21]",65,21,-0.069628894329071,"Conditional regressor (grade points)","age_at_enrollment"
"(21,23]",41,22.4390243902439,-0.207823008298874,"Conditional regressor (grade points)","age_at_enrollment"
"(23,27]",63,25.4920634920635,-0.258211626419945,"Conditional regressor (grade points)","age_at_enrollment"
"(27,34]",74,30.972972972973,-0.34771063360008,"Conditional regressor (grade points)","age_at_enrollment"
"(34,54]",72,41.4166666666667,-0.422316673729155,"Conditional regressor (grade points)","age_at_enrollment"
