"eta","max_depth","min_child_weight","subsample","nrounds","cv_score"
0.03,1,1,0.8,556,0.396072384765039
0.08,1,1,0.8,201,0.396345023629407
0.03,2,1,0.8,192,0.39391614139473
0.08,2,1,0.8,80,0.393986058260097
0.03,3,1,0.8,125,0.393758531347758
0.08,3,1,0.8,43,0.394616018685341
0.03,1,8,0.8,441,0.396076903306046
0.08,1,8,0.8,211,0.39575435763918
0.03,2,8,0.8,214,0.392538825240832
0.08,2,8,0.8,80,0.392849191664013
0.03,3,8,0.8,127,0.39251220944244
0.08,3,8,0.8,53,0.393243822474705
0.03,1,1,1,700,0.396468403778692
0.08,1,1,1,301,0.396377197960574
0.03,2,1,1,187,0.394908269845485
0.08,2,1,1,59,0.394937381076008
0.03,3,1,1,132,0.394041145417074
0.08,3,1,1,50,0.394205824945077
0.03,1,8,1,678,0.395829585065306
0.08,1,8,1,267,0.395740608089543
0.03,2,8,1,260,0.392749927600293
0.08,2,8,1,96,0.392888574978899
0.03,3,8,1,163,0.392997289374772
0.08,3,8,1,61,0.393273646193026
