"eta","max_depth","min_child_weight","subsample","nrounds","cv_score"
0.03,1,1,0.8,283,1.93619529023689
0.08,1,1,0.8,132,1.93582147416213
0.03,2,1,0.8,133,1.93905910756465
0.08,2,1,0.8,47,1.94075623724906
0.03,3,1,0.8,104,1.94288286247779
0.08,3,1,0.8,29,1.94294774429347
0.03,1,8,0.8,298,1.93500878442722
0.08,1,8,0.8,148,1.93506769352556
0.03,2,8,0.8,138,1.93807130904765
0.08,2,8,0.8,58,1.93815860070862
0.03,3,8,0.8,93,1.94216476391498
0.08,3,8,0.8,33,1.94288817633489
0.03,1,1,1,353,1.93639100175483
0.08,1,1,1,122,1.93638512933589
0.03,2,1,1,170,1.94183497515422
0.08,2,1,1,65,1.94216682270026
0.03,3,1,1,77,1.94432472519397
0.08,3,1,1,24,1.94422301235617
0.03,1,8,1,380,1.93616328581645
0.08,1,8,1,135,1.93608496652791
0.03,2,8,1,163,1.94176693698447
0.08,2,8,1,59,1.94192429872191
0.03,3,8,1,84,1.94308215943653
0.08,3,8,1,31,1.94267024703005
